,Site,Date(s),Designated,Location,Coordinates,Latitude,Longitude,Description,Type
0,Battle of Stoney Creek ,1813 (battle),1960,Stoney Creek,"43.217271, -79.7662",43.217271,-79.7662,"The site of a British victory that marked a turning point in the War of 1812, representing the most advanced position achieved by American forces in the Niagara campaign",PHistoric
1,Burlington Heights ,1813-14 (wartime activities),1929,Hamilton,"43.27056, -79.88611",43.27056,-79.88611,An assembly point and supply depot for the defence of the Niagara Peninsula and support of the navy on Lake Ontario during the War of 1812,PHistoric
2,Dundurn Castle ,1835 (completed),1984,Hamilton,"43.269481, -79.884649",43.269481,-79.884649,"Picturesque-style villa of magnate Sir Allan Napier MacNab, 1st Baronet",PHistoric
3,Erland Lee (Museum) Home ,1808 (completed),2002,Hamilton,"43.20667, -79.72167",43.20667,-79.72167,"A Carpenter Gothic farmhouse recognized as the birthplace of an important national and international women's movement, where the constitution of the first Women's Institute was drafted",PHistoric
4,Former Hamilton Customs House ,1860 (completed),1990,Hamilton,"43.2663639, -79.8672139",43.2663639,-79.8672139,"A former customs house now serving as the Workers Arts and Heritage Centre; a noted example of Italianate architecture, which was popular in Canada from the 1840s to the 1870s; based on designs by Frederick Preston Rubidge 1858",PHistoric
5,Former Hamilton Railway Station (Canadian National) ,1931 (completed),2000,Hamilton,"43.2663639, -79.8672139",43.2663639,-79.8672139,"Built by Canadian National Railway, the railway station is a rare surviving example of an interwar station built according to the tenets of the City Beautiful movement; it served as an important immigration gateway after the Second World War",PHistoric
6,Griffin House ,1827 (completed),2008,Hamilton,"43.2359500, -80.0031278",43.23595,-80.0031278,"A rare surviving example of a four-room house typical in Upper Canada in the early 19th century; was owned by Enerals Griffin, a Black immigrant from Virginia who settled here in 1834, and the house is associated with Black settlement in British North America and the Underground Railroad",PHistoric
7,Hamilton Waterworks ,1859 (completed),1977,Hamilton,"43.2562361, -79.7706972",43.2562361,-79.7706972,"Built to deliver large quantities of clean water for safe drinking and fire control to rapidly expanding Hamilton, the waterworks is a rare surviving example of a Victorian industrial complex that is largely architecturally and functionally intact",PHistoric
8,HMCS Haida ,1942 (constructed),1984,Hamilton,"43.27531, -79.85538",43.27531,-79.85538,Last of the World War II Tribal-class destroyers; moored and open to the public as a museum ship at Hamilton Harbour,PHistoric
9,John Weir Foote Armoury ,1888 (completed),1989,Hamilton,"43.2618778, -79.8662278",43.2618778,-79.8662278,"Named after John Weir Foote, the north section of the building is representative of the second evolutionary stage in drill hall construction in Canada (in the 1870s to 1890s)",PHistoric
10,McQuesten House / Whitehern ,1848 (completed),1962,Hamilton,"43.2546, -79.8721",43.2546,-79.8721,"The two-storey neoclassical home of Thomas McQuesten, now serving as a museum; a superior and intact example of mid-19th-century residential architecture in Ontario",PHistoric
11,Royal Botanical Gardens ,1920s (established),1993,Hamilton,"43.2909833, -79.8751972",43.2909833,-79.8751972,"Comprising 1,100 hectares (2,700 acres) clustered around Burlington Bay, it is one of Canada's most important botanical gardens, and is the international registration authority for cultivar names of lilacs; named Canada's ""National Focal Point"" for plant conservation targets under the United Nations€™ Convention on Biological Diversity",PHistoric
12,Sandyford Place ,1856 (completed),1975,Hamilton,"43.2519389, -79.8732556",43.2519389,-79.8732556,"A row of stone terrace houses, typical of the construction style in Hamilton at a time when Scottish settlers sought to recreate the stone terraces of Scottish towns; a good example of the housing erected for merchants in the mid-19th century",PHistoric
13,St. Paul's Presbyterian Church / Former St. Andrew's Church ,1857 (completed),1990,Hamilton,"43.254761, -79.870282",43.254761,-79.870282,"An excellent representative example of the Gothic Revival style in a small, urban parish church",PHistoric
14,Victoria Hall ,1888 (completed),1995,Hamilton,"43.255691, -79.867267",43.255691,-79.867267,"A three-and-a-half-storey, commercial building with a hand-made, galvanized sheet-metal faÃ§ade on the front of its upper storeys; a very rare example of an in-situ, hand-made, sheet-metal faÃ§ade in Canada, and one of the most architecturally accomplished of the surviving sheet metal faÃ§ades in the country",PHistoric
15,Ann Baillie Building ,1904 (completed),1997,Kingston ,"44.2237667, -76.4923694",44.2237667,-76.4923694,"One of the first purpose-built nurses€™ residences in Canada, the building represents the professionalization of nursing in Canada in the early 20th-century, and now serves as the Museum of Health Care",PHistoric
16,Bellevue House ,1841 (completed),1995,Kingston,"44.22278, -76.50333",44.22278,-76.50333,"A noted example of Italianate architecture in the Picturesque manner in Canada, and the former residence of John A. Macdonald, a Father of Confederation and the first Prime Minister of Canada",PHistoric
17,Cataraqui Cemetery ,1850 (established),2011,Kingston,"44.264, -76.54111",44.264,-76.54111,"One of the best examples of a medium-sized rural or garden cemetery in Canada, containing a range of remarkable monuments, a Gothic Revival lodge, and the graves of many notable Canadians, including John A. Macdonald, the first Prime Minister (itself a NHS)",PHistoric
18,Elizabeth Cottage ,1843 (completed),1993,Kingston,"44.23179, -76.4889611",44.23179,-76.4889611,A representative example of a 19th-century Gothic Revival villa,PHistoric
19,Fort Frontenac ,1673 (original fort completed),1923,Kingston,"44.23333, -76.47861",44.23333,-76.47861,"Originally a French trading post that served as a gateway to the West, the base of Robert de LaSalle€™s explorations and a French outpost against the Iroquois and English forces",PHistoric
20,Fort Henry ,1840 (completed),1923,Kingston,"44.2302639, -76.4596806",44.2302639,-76.4596806,"British fort that served as the principal fortification among a series of military works designed to defend Kingston, its harbour and dockyard and the entrance to the Rideau Canal",PHistoric
21,Frontenac County Court House ,1858 (completed),1980,Kingston,"44.227777, -76.489777",44.227777,-76.489777,"Representative of the large-scale court houses erected in Ontario after 1850, when the Municipal Act was amended to give increased power to counties to construct court houses on a monumental scale to accommodate various county functions",PHistoric
22,Kingston City Hall and Market Square,1844 (completed),1961,Kingston,"44.2299111, -76.480583",44.2299111,-76.480583,"A prominent example of the Neoclassical style in Canada, with a landmark tholobate and dome; its scale and design are reflective of Kingtson's status at the time of construction as capital of the Province of Canada . The Kingston Public Market, founded in 1801, is behind city hall and part of the national historic site and is the oldest public market in Ontario.",PHistoric
23,Kingston Customs House ,1859 (completed),1971,Kingston,"44.2296222, -76.4823472",44.2296222,-76.4823472,A limestone former customs house; an excellent example of the architectural quality of mid-19th-century public buildings designed in the British classical tradition,PHistoric
24,Kingston Dry Dock ,1892 (completed),1978,Kingston,"44.2251750, -76.4833778",44.225175,-76.4833778,"An important construction and repair facility for ships on the Great Lakes; noted for the Second World War naval vessels, notably corvettes, built in this dry dock",PHistoric
25,Kingston Fortifications ,1840 (completed),1989,Kingston,"44.222275, -76.490357",44.222275,-76.490357,"A fortification system consisting of five installations (Fort Henry NHS, Fort Frederick, Murney Tower NHS, Shoal Tower NHS and Cathcart Tower), crucial to the 19th century defense of Kingston and the terminus of the Rideau Canal",PHistoric
26,Kingston General Hospital ,1833-1924 (completion of historic buildings),1995,Kingston,"44.22417, -76.49306",44.22417,-76.49306,"A complex of limestone buildings, built between 1833 and 1924, set in a campus of more recent hospital buildings; the oldest public hospital in Canada still in operation, with facilities illustrative of health care in Canada in the 19th and 20th centuries",PHistoric
27,Kingston Navy Yard ,1788 (established),1928,Kingston,"44.22889, -76.46861",44.22889,-76.46861,The site of a Royal Navy Dockyard from 1788 to 1853,PHistoric
28,Kingston Penitentiary ,1835 (established),1990,Kingston,"44.22069, -76.51340",44.22069,-76.5134,"Canada's oldest reformatory prison, with a layout that served as a model for other federal prisons for more than a century; its massive stone wall and north gate are an imposing local landmark",PHistoric
29,Murney Tower,1846 (completed),1930,Kingston,"44.22228, -76.490582",44.22228,-76.490582,A martello tower located on Murray Point on the west shore of Kingston Harbour; also a component of the Kingston Fortifications National Historic Site of Canada,PHistoric
30,Old Kingston Post Office ,1859 (completed),1971,Kingston,"44.2299750, -76.4830250",44.229975,-76.483025,"A two-storey, limestone building built in the Neoclassical style, illustrative of the popularity of neoclassical elements in the mid-19th century and the eclecticism of early Victorian architecture in Canada",PHistoric
31,Point Frederick Buildings ,1790 to 1846 (completed),1973,Kingston,"44.2279806, -76.4694778",44.2279806,-76.4694778,A peninsula upon which a major British naval base was located during the War of 1812; an assemblage of architecturally significant structures used by the Royal Military College of Canada,PHistoric
32,Rideau Canal ,1837 (completed),1925,Ottawa to Kingston,"45.42583, -75.69722",45.42583,-75.69722,"Built for the British government by Lieutenant-Colonel John By as a defensive work in the event of war with the United States, the canal is the best preserved example of a 19th-century slack water canal in North America, with most of its original structures intact",PHistoric
33,Roselawn ,1841 (completed),1969,Kingston,"44.2255500, -76.5101833",44.22555,-76.5101833,"A two-storey neoclassical house, now used as a conference centre by Queen's University; at one time the centre of a large estate, it is representative of the large 19th-century country houses built for affluent Kingstonians just beyond the (then) city outskirts",PHistoric
34,Shoal Tower ,1847 (completed),1930,Kingston,"44.2288028, -76.47809",44.2288028,-76.47809,"A martello tower located on a shoal in Kingston harbour; a component of the Kingston Fortifications NHS, and symbolic of Kingston's military and naval significance in the 19th century",PHistoric
35,Sir John A. Macdonald Gravesite ,1891 (burial),1938,Kingston,"44.262080, -76.542188",44.26208,-76.542188,"The burial place of Sir John A. Macdonald, a Father of Confederation and the first Prime Minister of Canada, in Cataraqui Cemetery NHS",PHistoric
36,War of 1812 Shipwrecks ,1814 (built),2015,Kingston,"44.231003, -76.452241",44.231003,-76.452241,"Wrecks of the British ships Saint Lawrence, Princess Charlotte, and Prince Regent in Deadman Bay and elsewhere",PHistoric
37,Battle of Beaver Dams ,1813 (battle),1921,Thorold,"43.117776, -79.185419",43.117776,-79.185419,"The site of a decisive British victory during the War of 1812, after heroine Laura Secord had earlier struck out on a long and difficult trek to warn the British of an impending American attack",PHistoric
38,Battle of Chippawa ,1814 (battle),1921,Chippawa,"43.052127, -79.024720",43.052127,-79.02472,The site of a battle that took place during the War of 1812 as a result of the last major American invasion of Canada,PHistoric
39,Battle of Cook's Mills ,1814 (battle),1921,Cooks Mills,"42.997895, -79.174913",42.997895,-79.174913,"The site of the last engagement between U.S. and British/Canadian armies fought in Niagara, and second-last on Canadian soil during the War of 1812",PHistoric
40,Battle of Lundy's Lane ,1814 (battle),1937,Niagara Falls,"43.089152, -79.095456",43.089152,-79.095456,The site of a spontaneous confrontation between the British and American forces in which the British attacked American forces returning from the Battle of Chippawa; the six-hour-long battle was one of the bloodiest battles of the War of 1812 and marked the end of American offensive in Upper Canada,PHistoric
41,Battlefield of Fort George ,1813 (battle),1921,Niagara-on-the-Lake,"43.262033, -79.084517",43.262033,-79.084517,"The site of one of the fiercest battles of the War of 1812, in which the U.S. managed to gain a toehold on the Niagara Peninsula; distinct from nearby Fort George National Historic Site",PHistoric
42,Butler's Barracks ,1814 to 54 (completed),1963,Niagara-on-the-Lake,"43.248370, -79.0740",43.24837,-79.074,"A complex of five wooden buildings, built by the British after the War of 1812 and occupied as a military camp until the 1960s, representing 150 years of military history",PHistoric
43,Former L.J. Shickluna Service Station ,1924 (c.) (completed),1995,Port Colborne,"42.887941, -79.251214",42.887941,-79.251214,Early Spanish Colonial Revival-style service station; symbol of rapid post-World War I automobile culture,PHistoric
44,Fort Drummond ,1814 (completed),1928,Niagara-on-the-Lake,"43.160147, -79.052234",43.160147,-79.052234,"A redoubt and battery constructed during the War of 1812 to protect the main portage road from Chippawa to Queenston, named after Sir Gordon Drummond; some walls of the redoubt are still extant",PHistoric
45,Fort Erie ,1808 (completion of third Fort Erie),1933,Fort Erie (town),"42.8932500, -78.9238167",42.89325,-78.9238167,"The first British fort to be constructed as part of a network developed after the Seven Years' War in the western portion of the Province of Quebec (later Upper Canada); captured and destroyed in 1814 by invading American forces during the War of 1812, the remains of the fort were rebuilt by the Niagara Parks Commission in 1937 to 39",PHistoric
46,Fort George ,"1799 (completed), 1940 (reconstruction completed)",1921,Niagara-on-the-Lake,"43.25083, -79.06111",43.25083,-79.06111,Reconstructed British fort that served as the principal fortification on the Niagara Peninsula during the War of 1812; distinct from the nearby Battlefield of Fort George National Historic Site,PHistoric
47,Fort Mississauga ,1814 (completed),1960,Niagara-on-the-Lake,"43.26167, -79.07667",43.26167,-79.07667,"Located in a strategic position at the mouth of the Niagara River to protect the Canadian frontier and to counter Fort Niagara on the U.S. side, it is the only remaining fortification of its type (a square tower within a star-shaped earthwork) in Canada",PHistoric
48,Frenchman's Creek ,1812 (battle),1921,Fort Erie,"42.94227, -78.926",42.94227,-78.926,"The battle of Frenchman€™s Creek was a minor skirmish in the War of 1812, where British forces pushed an American advance parties back across the Niagara River; the failure of American troops contributed, in part, to the cancellation of the larger invasion planned for the Niagara peninsula at the end of 1812",PHistoric
49,Mississauga Point Lighthouse ,"1804 (completed), 1814 (demolished)",1937,Niagara-on-the-Lake,"43.26164, -79.0766278",43.26164,-79.0766278,"The first lighthouse on the Great Lakes, constructed in 1804 by the military masons of the 49th Regiment of Foot, it was damaged in the Battle of Fort George in 1813, and demolished in 1814 when the British built Fort Mississauga on the site",PHistoric
50,Navy Island ,1761 (shipyard established),1921,Niagara Falls,"43.0564083, -79.010583",43.0564083,-79.010583,"Archaeological remains on an uninhabited island on the Ontario side of the Niagara River; during the 1760s, the island was home to the first British shipyard to serve the Upper Great Lakes and, during the Upper Canada Rebellion, the seat of William Lyon Mackenzie€™s exiled government, the Republic of Canada",PHistoric
51,Niagara Apothecary ,1820 (completed),1968,Niagara-on-the-Lake,"43.2550694, -79.070917",43.2550694,-79.070917,"A white, single-storey clapboard Georgian building on Niagara-on-the-Lake€™s main commercial street, it served as an apothecary/pharmacy from approximately 1866 to 1964 and it is one of the very few remaining examples of an old apothecary shop",PHistoric
52,Niagara District Court House ,1847 (completed),1980,Niagara-on-the-Lake,"43.2550694, -79.070917",43.2550694,-79.070917,"Designed by William Thomas in the Neoclassical style, it is an excellent example of a mid-19th-century multipurpose civic structure, originally containing the local court house, jail, market and town hall",PHistoric
53,Niagara-on-the-Lake ,1815 to 59 (completed),2003,Niagara-on-the-Lake,"43.2550056, -79.071833",43.2550056,-79.071833,An early-19th-century Loyalist town located on the southern shore of Lake Ontario; the historic district covers 25 city blocks and contains the best collection of buildings in Canada from the period following the War of 1812,PHistoric
54,Point Abino Light Tower ,1918 (completed),1998,Crystal Beach,"42.8355139, -79.0951778",42.8355139,-79.0951778,"A lighthouse situated at the eastern end of Lake Erie; intended to complement the summer homes nearby, it was more elaborately designed than most Canadian lighthouses, with a high level of its features still intact",PHistoric
