,Name,Location,Census Division,Region,Type,Kind,Summary
0,Adelaide Hunter Hoodless Homestead,St. George,County of Brant,Golden Horseshoe,Museum,Historic house,"mid-19th century childhood farm home of Adelaide Hunter Hoodless, founder of the Women's Institute"
1,Agnes Etherington Art Centre,Kingston,Frontenac County,Eastern,Museum,Art,"Operated by Queen's University, includes Canadian, European, Inuit and African art, decorative arts"
2,Algonquin Provincial Park,Whitney,Nipissing District,Northeastern,Museum,Multiple,"Includes the visitor center with exhibits about the area's natural and cultural history, and a logging museum"
3,Alix Art Gallery,Sarnia,Lambton County,Southwestern,Museum,Art,"includes paintings by the Group of Seven, contemporary and historically significant Canadian visual art and visual culture"
4,Allan Macpherson House,Napanee,Lennox and Addington County,Eastern,Museum,Historic house,"c.1830 period house, Georgian architecture built by Napanee's first postmaster and a prominent local figure, operated by the Lennox and Addington Historical Society"
5,Ameliasburgh Historical Museum,Ameliasburgh,Prince Edward County,Central,Museum,Open air,Open air
6,Anderson Farm Museum,Lively,Greater Sudbury,Northeastern,Museum,Agriculture,"Operated by Greater Sudbury Heritage Museums, historic 1920s period farmhouse, barn and milk house"
7,Annandale National Historic Site,Tillsonburg,Oxford,Southwestern,Museum,Historic house,1880s Victorian house known for its lavish Aesthetic art decorations
8,Arbor Gallery,Vankleek Hill,Prescott and Russell,Eastern,Museum,Art,contemporary art centre
9,Arkona Lions Museum,Arkona,Lambton County,Southwestern,Museum,Natural history,area Devonian fossils and First Nations artifacts
10,Arnprior & District Museum,Arnprior,Renfrew County,Eastern,Museum,Local history,Local history
11,Art Gallery of Algoma,Sault Ste. Marie,Algoma District,Northeastern,Museum,Art,Visual art
12,Art Gallery of Hamilton,Hamilton,Hamilton,Golden Horseshoe,Museum,Art,Includes Canadian and European works
13,Art Gallery of Mississauga,Mississauga,Peel Region,Golden Horseshoe,Museum,Art,Emphasis on area artists and Canadian art
14,Art Gallery of Northumberland,Cobourg,Northumberland,Central,Museum,Art,Art
15,Art Gallery of Peterborough,Peterborough,Peterborough County,Central,Museum,Art,Focus is Canadian art
16,Art Gallery of Sudbury,Sudbury,Greater Sudbury,Northeastern,Museum,Art,Contemporary art
17,Art Gallery of Windsor,Windsor,Essex County,Southwestern,Museum,Art,"Significant works of art by local, regional and national artists"
18,Artcite,Windsor,Essex County,Southwestern,Museum,Art,artist-run contemporary and experimental art centre
19,Artery Gallery,Kitchener,Waterloo Region,Golden Horseshoe,Museum,Art,curated and managed by the student Society of Fine Artists of the University of Waterloo
20,Artspace Peterborough,Peterborough,Peterborough County,Central,Museum,Art,artist-run contemporary art centre
21,Arthur Child Heritage Museum,Gananoque,Leeds and Grenville,Eastern,Museum,Multiple,"Area cultural and natural history, including 1000 Islands ecosystem, First Nations and early settlers, military and tourism exhibits, impact of the St. Lawrence River"
22,Assiginack Museum Complex,Assiginack,Manitoulin District,Northeastern,Museum,Open air,"includes the original late 19th-century town lock-up and jailer's home, pioneer home, school, blacksmith shop and driving shed, and the SS Norisle, a steam-powered automobile ferry museum ship"
